Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Acne,nausea,swelling_joints,irritation_in_anus,knee_pain,swollen_legs,polyuria,obesity,sinus_pressure
Allergy,acidity,irregular_sugar_level,receiving_unsterile_injections,stomach_pain,breathlessness,,,
Paralysis (brain hemorrhage),pain_behind_the_eyes,swollen_legs,dizziness,coma,family_history,,,
Hypothyroidism,continuous_sneezing,congestion,inflammatory_nails,cough,yellowing_of_eyes,bloody_stool,blister,rusty_sputum
Hepatitis A,muscle_weakness,irritation_in_anus,depression,weight_gain,,,,
Hypertension,yellow_urine,acute_liver_failure,belly_pain,neck_pain,puffy_face_and_eyes,weakness_in_limbs,blackheads,loss_of_balance
Hepatitis B,mood_swings,lethargy,patches_in_throat,dark_urine,blister,,,
Hepatitis E,chills,pain_during_bowel_movements,loss_of_smell,cold_hands_and_feets,weakness_in_limbs,,,
Heart attack,receiving_unsterile_injections,swelled_lymph_nodes,prominent_veins_on_calf,pain_behind_the_eyes,blurred_and_distorted_vision,,,
Bronchial Asthma,swollen_blood_vessels,runny_nose,internal_itching,weight_loss,muscle_pain,,,
Psoriasis,neck_pain,swollen_extremeties,passage_of_gases,mood_swings,muscle_pain,,,
Vertigo,muscle_wasting,receiving_blood_transfusion,dizziness,lethargy,,,,
Hypothyroidism,blister,cough,rusty_sputum,continuous_sneezing,inflammatory_nails,bloody_stool,yellowing_of_eyes,congestion
Hyperthyroidism,watering_from_eyes,painful_walking,anxiety,belly_pain,swollen_legs,yellowing_of_eyes,itching,
Typhoid,diarrhoea,throat_irritation,red_sore_around_nose,altered_sensorium,yellow_urine,spinning_movements,itching,shivering
AIDS,yellowish_skin,mood_swings,phlegm,depression,lethargy,red_spots_over_body,slurred_speech,
GERD,pain_in_anal_region,joint_pain,chest_pain,throat_irritation,,,,
Hepatitis E,pain_during_bowel_movements,loss_of_smell,cold_hands_and_feets,chills,weakness_in_limbs,,,
Hyperthyroidism,yellowing_of_eyes,swollen_legs,painful_walking,anxiety,belly_pain,watering_from_eyes,itching,
Tuberculosis,unsteadiness,brittle_nails,weight_loss,bloody_stool,,,,
Bronchial Asthma,weight_loss,muscle_pain,runny_nose,swollen_blood_vessels,internal_itching,,,
GERD,joint_pain,pain_in_anal_region,throat_irritation,chest_pain,,,,
Varicose veins,burning_micturition,blackheads,restlessness,dizziness,blood_in_sputum,sunken_eyes,,
Hepatitis B,mood_swings,patches_in_throat,lethargy,blister,dark_urine,,,
Psoriasis,passage_of_gases,mood_swings,muscle_pain,swollen_extremeties,neck_pain,,,
Vertigo,receiving_blood_transfusion,dizziness,muscle_wasting,lethargy,,,,
Hepatitis E,pain_during_bowel_movements,weakness_in_limbs,loss_of_smell,cold_hands_and_feets,chills,,,
Impetigo,nodal_skin_eruptions,breathlessness,hip_joint_pain,knee_pain,history_of_alcohol_consumption,,,
Chronic cholestasis,receiving_unsterile_injections,prominent_veins_on_calf,receiving_blood_transfusion,brittle_nails,mild_fever,skin_rash,weakness_in_limbs,bladder_discomfort
GERD,pain_in_anal_region,joint_pain,throat_irritation,chest_pain,,,,
Dimorphic hemmorhoids(piles),loss_of_smell,fatigue,dizziness,sweating,sunken_eyes,mucoid_sputum,anxiety,
Common Cold,nausea,blurred_and_distorted_vision,silver_like_dusting,congestion,neck_pain,high_fever,rusty_sputum,
Hypoglycemia,receiving_unsterile_injections,chest_pain,blurred_and_distorted_vision,diarrhoea,slurred_speech,blister,,
Hypoglycemia,receiving_unsterile_injections,slurred_speech,chest_pain,blister,diarrhoea,blurred_and_distorted_vision,,
Osteoarthristis,anxiety,swelling_joints,burning_micturition,weight_gain,,,,
Psoriasis,neck_pain,swollen_extremeties,passage_of_gases,mood_swings,muscle_pain,,,
Arthritis,small_dents_in_nails,lethargy,mucoid_sputum,bloody_stool,mood_swings,weight_gain,mild_fever,malaise
Hepatitis B,lethargy,patches_in_throat,dark_urine,blister,mood_swings,,,
Typhoid,throat_irritation,altered_sensorium,shivering,yellow_urine,red_sore_around_nose,spinning_movements,itching,diarrhoea
Bronchial Asthma,weight_loss,swollen_blood_vessels,internal_itching,muscle_pain,runny_nose,,,
Hepatitis D,headache,history_of_alcohol_consumption,redness_of_eyes,stiff_neck,altered_sensorium,family_history,palpitations,dizziness
Arthritis,lethargy,weight_gain,mood_swings,bloody_stool,mucoid_sputum,small_dents_in_nails,mild_fever,malaise
Hypoglycemia,diarrhoea,slurred_speech,blurred_and_distorted_vision,receiving_unsterile_injections,chest_pain,blister,,
Hepatitis C,yellowing_of_eyes,congestion,swollen_legs,silver_like_dusting,receiving_unsterile_injections,,,
Fungal infection,joint_pain,neck_pain,fast_heart_rate,enlarged_thyroid,,,,
Varicose veins,blackheads,blood_in_sputum,sunken_eyes,restlessness,dizziness,burning_micturition,,
Chronic cholestasis,prominent_veins_on_calf,receiving_unsterile_injections,brittle_nails,receiving_blood_transfusion,bladder_discomfort,skin_rash,mild_fever,weakness_in_limbs
Migraine,family_history,swelling_joints,acidity,pain_during_bowel_movements,,,,
Migraine,acidity,family_history,pain_during_bowel_movements,swelling_joints,,,,
Hepatitis A,weight_gain,irritation_in_anus,muscle_weakness,depression,,,,
Heart attack,pain_behind_the_eyes,prominent_veins_on_calf,blurred_and_distorted_vision,receiving_unsterile_injections,swelled_lymph_nodes,,,
Dengue,sweating,swollen_legs,swelling_of_stomach,knee_pain,itching,mild_fever,painful_walking,
Chicken pox,cramps,dehydration,indigestion,swollen_blood_vessels,slurred_speech,bladder_discomfort,scurring,nodal_skin_eruptions
Migraine,pain_during_bowel_movements,swelling_joints,acidity,family_history,,,,
Peptic ulcer disease,continuous_feel_of_urine,toxic_look_(typhos),swollen_legs,vomiting,,,,
Migraine,pain_during_bowel_movements,swelling_joints,family_history,acidity,,,,
Malaria,abnormal_menstruation,belly_pain,receiving_unsterile_injections,cold_hands_and_feets,mild_fever,,,
Dimorphic hemmorhoids(piles),sunken_eyes,fatigue,mucoid_sputum,loss_of_smell,sweating,anxiety,dizziness,
Chicken pox,indigestion,nodal_skin_eruptions,dehydration,swollen_blood_vessels,scurring,cramps,slurred_speech,bladder_discomfort
Hypertension,blackheads,neck_pain,loss_of_balance,acute_liver_failure,yellow_urine,belly_pain,puffy_face_and_eyes,weakness_in_limbs
Hepatitis E,pain_during_bowel_movements,chills,cold_hands_and_feets,loss_of_smell,weakness_in_limbs,,,
Varicose veins,blackheads,sunken_eyes,burning_micturition,restlessness,blood_in_sputum,dizziness,,
Osteoarthristis,burning_micturition,weight_gain,anxiety,swelling_joints,,,,
Hypoglycemia,blister,chest_pain,receiving_unsterile_injections,diarrhoea,slurred_speech,blurred_and_distorted_vision,,
Chronic cholestasis,receiving_blood_transfusion,prominent_veins_on_calf,bladder_discomfort,mild_fever,weakness_in_limbs,receiving_unsterile_injections,skin_rash,brittle_nails
Diabetes,pain_during_bowel_movements,pain_in_anal_region,lethargy,drying_and_tingling_lips,,,,
Peptic ulcer disease,swollen_legs,continuous_feel_of_urine,toxic_look_(typhos),vomiting,,,,
Gastroenteritis,painful_walking,belly_pain,brittle_nails,irritability,,,,
Arthritis,bloody_stool,malaise,mild_fever,lethargy,small_dents_in_nails,weight_gain,mood_swings,mucoid_sputum
Paralysis (brain hemorrhage),dizziness,pain_behind_the_eyes,coma,swollen_legs,family_history,,,
Hepatitis D,family_history,dizziness,headache,altered_sensorium,palpitations,redness_of_eyes,history_of_alcohol_consumption,stiff_neck
Common Cold,congestion,rusty_sputum,blurred_and_distorted_vision,silver_like_dusting,neck_pain,high_fever,nausea,
Alcoholic hepatitis,anxiety,pain_during_bowel_movements,weight_loss,mood_swings,,,,
Hepatitis D,palpitations,redness_of_eyes,family_history,headache,altered_sensorium,history_of_alcohol_consumption,dizziness,stiff_neck
Fungal infection,fast_heart_rate,neck_pain,enlarged_thyroid,joint_pain,,,,
Osteoarthristis,anxiety,swelling_joints,weight_gain,burning_micturition,,,,
Jaundice,burning_micturition,dehydration,weakness_in_limbs,yellow_crust_ooze,cough,pain_behind_the_eyes,,
Cervical spondylosis,extra_marital_contacts,congestion,swelling_joints,polyuria,cold_hands_and_feets,pus_filled_pimples,,
Psoriasis,muscle_pain,neck_pain,swollen_extremeties,mood_swings,passage_of_gases,,,
AIDS,red_spots_over_body,lethargy,mood_swings,phlegm,slurred_speech,yellowish_skin,depression,
Tuberculosis,weight_loss,bloody_stool,unsteadiness,brittle_nails,,,,
Chronic cholestasis,receiving_blood_transfusion,receiving_unsterile_injections,brittle_nails,mild_fever,weakness_in_limbs,bladder_discomfort,skin_rash,prominent_veins_on_calf
Malaria,abnormal_menstruation,mild_fever,belly_pain,receiving_unsterile_injections,cold_hands_and_feets,,,
Common Cold,rusty_sputum,neck_pain,blurred_and_distorted_vision,nausea,congestion,high_fever,silver_like_dusting,
Arthritis,bloody_stool,mild_fever,malaise,mood_swings,lethargy,weight_gain,small_dents_in_nails,mucoid_sputum
Common Cold,congestion,rusty_sputum,blurred_and_distorted_vision,high_fever,neck_pain,silver_like_dusting,nausea,
Malaria,belly_pain,mild_fever,abnormal_menstruation,cold_hands_and_feets,receiving_unsterile_injections,,,
Heart attack,pain_behind_the_eyes,swelled_lymph_nodes,prominent_veins_on_calf,receiving_unsterile_injections,blurred_and_distorted_vision,,,
Alcoholic hepatitis,pain_during_bowel_movements,weight_loss,mood_swings,anxiety,,,,
Hepatitis C,swollen_legs,congestion,yellowing_of_eyes,receiving_unsterile_injections,silver_like_dusting,,,
Osteoarthristis,weight_gain,burning_micturition,anxiety,swelling_joints,,,,
Alcoholic hepatitis,anxiety,pain_during_bowel_movements,mood_swings,weight_loss,,,,
Acne,polyuria,nausea,swelling_joints,swollen_legs,sinus_pressure,obesity,knee_pain,irritation_in_anus
Cervical spondylosis,congestion,swelling_joints,polyuria,extra_marital_contacts,cold_hands_and_feets,pus_filled_pimples,,
Tuberculosis,unsteadiness,brittle_nails,bloody_stool,weight_loss,,,,
Typhoid,throat_irritation,shivering,diarrhoea,spinning_movements,altered_sensorium,itching,yellow_urine,red_sore_around_nose
Hyperthyroidism,belly_pain,watering_from_eyes,yellowing_of_eyes,swollen_legs,anxiety,painful_walking,itching,
Hepatitis E,loss_of_smell,weakness_in_limbs,cold_hands_and_feets,pain_during_bowel_movements,chills,,,
Bronchial Asthma,weight_loss,internal_itching,swollen_blood_vessels,runny_nose,muscle_pain,,,
Typhoid,itching,throat_irritation,spinning_movements,yellow_urine,red_sore_around_nose,shivering,diarrhoea,altered_sensorium
Hypothyroidism,inflammatory_nails,cough,continuous_sneezing,rusty_sputum,congestion,yellowing_of_eyes,bloody_stool,blister
Hypertension,weakness_in_limbs,acute_liver_failure,loss_of_balance,neck_pain,blackheads,belly_pain,puffy_face_and_eyes,yellow_urine
Hypoglycemia,diarrhoea,blister,blurred_and_distorted_vision,slurred_speech,chest_pain,receiving_unsterile_injections,,
Gastroenteritis,irritability,painful_walking,belly_pain,brittle_nails,,,,
Fungal infection,joint_pain,fast_heart_rate,neck_pain,enlarged_thyroid,,,,
Hepatitis E,weakness_in_limbs,loss_of_smell,chills,pain_during_bowel_movements,cold_hands_and_feets,,,
Allergy,irregular_sugar_level,receiving_unsterile_injections,stomach_pain,acidity,breathlessness,,,
Hypoglycemia,blurred_and_distorted_vision,blister,receiving_unsterile_injections,slurred_speech,diarrhoea,chest_pain,,
Migraine,acidity,swelling_joints,family_history,pain_during_bowel_movements,,,,
Malaria,mild_fever,abnormal_menstruation,belly_pain,cold_hands_and_feets,receiving_unsterile_injections,,,
Tuberculosis,brittle_nails,bloody_stool,weight_loss,unsteadiness,,,,
Heart attack,receiving_unsterile_injections,blurred_and_distorted_vision,pain_behind_the_eyes,prominent_veins_on_calf,swelled_lymph_nodes,,,
Hepatitis A,muscle_weakness,weight_gain,irritation_in_anus,depression,,,,
Peptic ulcer disease,toxic_look_(typhos),swollen_legs,continuous_feel_of_urine,vomiting,,,,
Arthritis,weight_gain,lethargy,malaise,mild_fever,bloody_stool,mood_swings,small_dents_in_nails,mucoid_sputum
Pneumonia,internal_itching,stomach_bleeding,lack_of_concentration,receiving_unsterile_injections,,,,
Hypoglycemia,chest_pain,blurred_and_distorted_vision,diarrhoea,slurred_speech,blister,receiving_unsterile_injections,,
Dengue,swelling_of_stomach,painful_walking,swollen_legs,sweating,itching,knee_pain,mild_fever,
Allergy,breathlessness,acidity,receiving_unsterile_injections,stomach_pain,irregular_sugar_level,,,
Drug Reaction,diarrhoea,breathlessness,belly_pain,cough,chest_pain,loss_of_smell,,
Osteoarthristis,burning_micturition,anxiety,swelling_joints,weight_gain,,,,
Peptic ulcer disease,continuous_feel_of_urine,vomiting,toxic_look_(typhos),swollen_legs,,,,
Pneumonia,receiving_unsterile_injections,lack_of_concentration,stomach_bleeding,internal_itching,,,,
Urinary tract infection,nodal_skin_eruptions,swelling_joints,weight_loss,pus_filled_pimples,congestion,sunken_eyes,swollen_legs,
Impetigo,breathlessness,history_of_alcohol_consumption,hip_joint_pain,knee_pain,nodal_skin_eruptions,,,
Hepatitis D,family_history,palpitations,redness_of_eyes,dizziness,history_of_alcohol_consumption,stiff_neck,altered_sensorium,headache
Malaria,cold_hands_and_feets,abnormal_menstruation,receiving_unsterile_injections,belly_pain,mild_fever,,,
Alcoholic hepatitis,weight_loss,mood_swings,pain_during_bowel_movements,anxiety,,,,
Hepatitis B,patches_in_throat,dark_urine,mood_swings,lethargy,blister,,,
Hepatitis A,depression,irritation_in_anus,muscle_weakness,weight_gain,,,,
AIDS,phlegm,lethargy,depression,slurred_speech,mood_swings,yellowish_skin,red_spots_over_body,
AIDS,slurred_speech,red_spots_over_body,depression,phlegm,lethargy,mood_swings,yellowish_skin,
Alcoholic hepatitis,mood_swings,pain_during_bowel_movements,anxiety,weight_loss,,,,
Alcoholic hepatitis,anxiety,mood_swings,pain_during_bowel_movements,weight_loss,,,,
Vertigo,dizziness,receiving_blood_transfusion,lethargy,muscle_wasting,,,,
Hypertension,neck_pain,belly_pain,acute_liver_failure,blackheads,puffy_face_and_eyes,weakness_in_limbs,loss_of_balance,yellow_urine
Hypertension,belly_pain,neck_pain,acute_liver_failure,puffy_face_and_eyes,loss_of_balance,blackheads,yellow_urine,weakness_in_limbs
Chicken pox,nodal_skin_eruptions,scurring,swollen_blood_vessels,cramps,slurred_speech,dehydration,bladder_discomfort,indigestion
Gastroenteritis,irritability,brittle_nails,belly_pain,painful_walking,,,,
Hepatitis C,silver_like_dusting,swollen_legs,yellowing_of_eyes,receiving_unsterile_injections,congestion,,,
Hepatitis C,silver_like_dusting,swollen_legs,congestion,yellowing_of_eyes,receiving_unsterile_injections,,,
Urinary tract infection,sunken_eyes,swollen_legs,swelling_joints,nodal_skin_eruptions,pus_filled_pimples,weight_loss,congestion,
Hepatitis B,patches_in_throat,lethargy,dark_urine,mood_swings,blister,,,
Hepatitis B,lethargy,dark_urine,patches_in_throat,blister,mood_swings,,,
Diabetes,pain_in_anal_region,pain_during_bowel_movements,lethargy,drying_and_tingling_lips,,,,
Arthritis,weight_gain,mucoid_sputum,malaise,bloody_stool,mild_fever,lethargy,mood_swings,small_dents_in_nails
Common Cold,high_fever,rusty_sputum,congestion,silver_like_dusting,nausea,neck_pain,blurred_and_distorted_vision,
Bronchial Asthma,runny_nose,internal_itching,muscle_pain,weight_loss,swollen_blood_vessels,,,
Urinary tract infection,weight_loss,swelling_joints,nodal_skin_eruptions,congestion,swollen_legs,sunken_eyes,pus_filled_pimples,
Hepatitis E,loss_of_smell,chills,pain_during_bowel_movements,cold_hands_and_feets,weakness_in_limbs,,,
Hepatitis D,headache,dizziness,stiff_neck,altered_sensorium,redness_of_eyes,history_of_alcohol_consumption,palpitations,family_history
AIDS,slurred_speech,phlegm,depression,red_spots_over_body,lethargy,mood_swings,yellowish_skin,
Dimorphic hemmorhoids(piles),dizziness,fatigue,loss_of_smell,sunken_eyes,sweating,mucoid_sputum,anxiety,
Varicose veins,dizziness,sunken_eyes,burning_micturition,blood_in_sputum,restlessness,blackheads,,
Bronchial Asthma,muscle_pain,swollen_blood_vessels,internal_itching,weight_loss,runny_nose,,,
Paralysis (brain hemorrhage),swollen_legs,dizziness,pain_behind_the_eyes,coma,family_history,,,
AIDS,depression,red_spots_over_body,yellowish_skin,lethargy,mood_swings,phlegm,slurred_speech,
GERD,joint_pain,pain_in_anal_region,throat_irritation,chest_pain,,,,
AIDS,slurred_speech,yellowish_skin,lethargy,depression,mood_swings,red_spots_over_body,phlegm,
Hepatitis C,swollen_legs,silver_like_dusting,yellowing_of_eyes,receiving_unsterile_injections,congestion,,,
Tuberculosis,bloody_stool,brittle_nails,unsteadiness,weight_loss,,,,
Tuberculosis,weight_loss,brittle_nails,bloody_stool,unsteadiness,,,,
Dimorphic hemmorhoids(piles),sunken_eyes,dizziness,anxiety,fatigue,sweating,mucoid_sputum,loss_of_smell,
Paralysis (brain hemorrhage),pain_behind_the_eyes,coma,family_history,swollen_legs,dizziness,,,
Osteoarthristis,anxiety,weight_gain,burning_micturition,swelling_joints,,,,
Cervical spondylosis,polyuria,congestion,pus_filled_pimples,swelling_joints,cold_hands_and_feets,extra_marital_contacts,,
Hypoglycemia,receiving_unsterile_injections,blister,slurred_speech,blurred_and_distorted_vision,diarrhoea,chest_pain,,
Acne,swelling_joints,swollen_legs,polyuria,knee_pain,irritation_in_anus,nausea,sinus_pressure,obesity
Psoriasis,mood_swings,muscle_pain,neck_pain,passage_of_gases,swollen_extremeties,,,
Hepatitis B,blister,dark_urine,mood_swings,patches_in_throat,lethargy,,,
Migraine,acidity,pain_during_bowel_movements,family_history,swelling_joints,,,,
Hyperthyroidism,anxiety,swollen_legs,belly_pain,yellowing_of_eyes,watering_from_eyes,painful_walking,itching,
Pneumonia,receiving_unsterile_injections,stomach_bleeding,lack_of_concentration,internal_itching,,,,
Arthritis,small_dents_in_nails,mood_swings,bloody_stool,malaise,mild_fever,mucoid_sputum,lethargy,weight_gain
Psoriasis,muscle_pain,mood_swings,swollen_extremeties,neck_pain,passage_of_gases,,,
Gastroenteritis,belly_pain,painful_walking,irritability,brittle_nails,,,,
Common Cold,silver_like_dusting,congestion,nausea,rusty_sputum,high_fever,neck_pain,blurred_and_distorted_vision,
Peptic ulcer disease,swollen_legs,continuous_feel_of_urine,vomiting,toxic_look_(typhos),,,,
GERD,throat_irritation,pain_in_anal_region,chest_pain,joint_pain,,,,
Hypertension,neck_pain,weakness_in_limbs,yellow_urine,acute_liver_failure,blackheads,puffy_face_and_eyes,belly_pain,loss_of_balance
Dengue,swollen_legs,painful_walking,sweating,mild_fever,itching,swelling_of_stomach,knee_pain,
Osteoarthristis,weight_gain,anxiety,burning_micturition,swelling_joints,,,,
Malaria,abnormal_menstruation,belly_pain,receiving_unsterile_injections,mild_fever,cold_hands_and_feets,,,
Hepatitis D,palpitations,headache,family_history,history_of_alcohol_consumption,dizziness,redness_of_eyes,altered_sensorium,stiff_neck
Psoriasis,swollen_extremeties,passage_of_gases,neck_pain,mood_swings,muscle_pain,,,
Paralysis (brain hemorrhage),coma,family_history,dizziness,swollen_legs,pain_behind_the_eyes,,,
Osteoarthristis,swelling_joints,anxiety,burning_micturition,weight_gain,,,,
Hepatitis B,lethargy,patches_in_throat,mood_swings,dark_urine,blister,,,
Hyperthyroidism,belly_pain,watering_from_eyes,painful_walking,itching,yellowing_of_eyes,anxiety,swollen_legs,
Gastroenteritis,irritability,painful_walking,belly_pain,brittle_nails,,,,
Hepatitis B,blister,lethargy,dark_urine,mood_swings,patches_in_throat,,,
Vertigo,dizziness,muscle_wasting,receiving_blood_transfusion,lethargy,,,,
Alcoholic hepatitis,anxiety,pain_during_bowel_movements,weight_loss,mood_swings,,,,
Tuberculosis,unsteadiness,weight_loss,brittle_nails,bloody_stool,,,,
Heart attack,prominent_veins_on_calf,blurred_and_distorted_vision,swelled_lymph_nodes,pain_behind_the_eyes,receiving_unsterile_injections,,,
Peptic ulcer disease,toxic_look_(typhos),continuous_feel_of_urine,swollen_legs,vomiting,,,,
Drug Reaction,loss_of_smell,diarrhoea,belly_pain,chest_pain,breathlessness,cough,,
Hypothyroidism,continuous_sneezing,yellowing_of_eyes,congestion,cough,blister,inflammatory_nails,bloody_stool,rusty_sputum
Hepatitis C,swollen_legs,yellowing_of_eyes,receiving_unsterile_injections,congestion,silver_like_dusting,,,
Allergy,stomach_pain,receiving_unsterile_injections,acidity,irregular_sugar_level,breathlessness,,,
Fungal infection,enlarged_thyroid,neck_pain,joint_pain,fast_heart_rate,,,,
Hepatitis A,irritation_in_anus,depression,weight_gain,muscle_weakness,,,,
Hepatitis E,weakness_in_limbs,pain_during_bowel_movements,loss_of_smell,cold_hands_and_feets,chills,,,
Chronic cholestasis,skin_rash,receiving_blood_transfusion,bladder_discomfort,brittle_nails,weakness_in_limbs,prominent_veins_on_calf,mild_fever,receiving_unsterile_injections
AIDS,phlegm,lethargy,depression,mood_swings,slurred_speech,red_spots_over_body,yellowish_skin,
Hypoglycemia,diarrhoea,blister,slurred_speech,receiving_unsterile_injections,blurred_and_distorted_vision,chest_pain,,
Diabetes,drying_and_tingling_lips,pain_during_bowel_movements,lethargy,pain_in_anal_region,,,,
Varicose veins,sunken_eyes,restlessness,burning_micturition,blood_in_sputum,dizziness,blackheads,,
AIDS,depression,yellowish_skin,slurred_speech,red_spots_over_body,phlegm,mood_swings,lethargy,
Bronchial Asthma,internal_itching,swollen_blood_vessels,runny_nose,weight_loss,muscle_pain,,,
Dimorphic hemmorhoids(piles),fatigue,dizziness,mucoid_sputum,loss_of_smell,sunken_eyes,sweating,anxiety,
Paralysis (brain hemorrhage),pain_behind_the_eyes,dizziness,coma,family_history,swollen_legs,,,
Acne,swollen_legs,polyuria,swelling_joints,obesity,knee_pain,irritation_in_anus,sinus_pressure,nausea
Peptic ulcer disease,toxic_look_(typhos),vomiting,swollen_legs,continuous_feel_of_urine,,,,
Allergy,acidity,breathlessness,stomach_pain,irregular_sugar_level,receiving_unsterile_injections,,,
Tuberculosis,weight_loss,unsteadiness,brittle_nails,bloody_stool,,,,
Malaria,receiving_unsterile_injections,cold_hands_and_feets,mild_fever,belly_pain,abnormal_menstruation,,,
Hypothyroidism,yellowing_of_eyes,congestion,blister,inflammatory_nails,bloody_stool,continuous_sneezing,rusty_sputum,cough
Vertigo,lethargy,dizziness,muscle_wasting,receiving_blood_transfusion,,,,
Varicose veins,restlessness,dizziness,blood_in_sputum,sunken_eyes,burning_micturition,blackheads,,
Paralysis (brain hemorrhage),coma,dizziness,pain_behind_the_eyes,family_history,swollen_legs,,,
Impetigo,history_of_alcohol_consumption,nodal_skin_eruptions,hip_joint_pain,knee_pain,breathlessness,,,
Peptic ulcer disease,swollen_legs,toxic_look_(typhos),vomiting,continuous_feel_of_urine,,,,
Hepatitis A,muscle_weakness,weight_gain,irritation_in_anus,depression,,,,
Bronchial Asthma,swollen_blood_vessels,muscle_pain,internal_itching,runny_nose,weight_loss,,,
Hepatitis A,muscle_weakness,depression,irritation_in_anus,weight_gain,,,,
Chronic cholestasis,weakness_in_limbs,skin_rash,prominent_veins_on_calf,mild_fever,receiving_unsterile_injections,bladder_discomfort,receiving_blood_transfusion,brittle_nails
Hepatitis A,weight_gain,irritation_in_anus,depression,muscle_weakness,,,,
Gastroenteritis,painful_walking,brittle_nails,irritability,belly_pain,,,,
Hepatitis D,dizziness,redness_of_eyes,altered_sensorium,palpitations,headache,family_history,stiff_neck,history_of_alcohol_consumption
Allergy,stomach_pain,breathlessness,irregular_sugar_level,acidity,receiving_unsterile_injections,,,
Chicken pox,bladder_discomfort,slurred_speech,scurring,nodal_skin_eruptions,swollen_blood_vessels,dehydration,indigestion,cramps
Vertigo,lethargy,dizziness,receiving_blood_transfusion,muscle_wasting,,,,
Chicken pox,indigestion,dehydration,nodal_skin_eruptions,slurred_speech,scurring,bladder_discomfort,swollen_blood_vessels,cramps
GERD,pain_in_anal_region,joint_pain,throat_irritation,chest_pain,,,,
Varicose veins,sunken_eyes,burning_micturition,blackheads,dizziness,blood_in_sputum,restlessness,,
Arthritis,small_dents_in_nails,malaise,mood_swings,lethargy,mucoid_sputum,weight_gain,mild_fever,bloody_stool
Dengue,painful_walking,swollen_legs,sweating,itching,swelling_of_stomach,mild_fever,knee_pain,
Migraine,family_history,pain_during_bowel_movements,swelling_joints,acidity,,,,
Tuberculosis,brittle_nails,bloody_stool,weight_loss,unsteadiness,,,,
Hepatitis A,weight_gain,muscle_weakness,depression,irritation_in_anus,,,,
Fungal infection,fast_heart_rate,enlarged_thyroid,joint_pain,neck_pain,,,,
Vertigo,muscle_wasting,dizziness,receiving_blood_transfusion,lethargy,,,,
Heart attack,prominent_veins_on_calf,swelled_lymph_nodes,blurred_and_distorted_vision,receiving_unsterile_injections,pain_behind_the_eyes,,,
Bronchial Asthma,internal_itching,runny_nose,weight_loss,swollen_blood_vessels,muscle_pain,,,
Osteoarthristis,swelling_joints,anxiety,burning_micturition,weight_gain,,,,
Hepatitis C,congestion,yellowing_of_eyes,swollen_legs,receiving_unsterile_injections,silver_like_dusting,,,
AIDS,lethargy,yellowish_skin,phlegm,slurred_speech,mood_swings,depression,red_spots_over_body,
Bronchial Asthma,internal_itching,weight_loss,swollen_blood_vessels,muscle_pain,runny_nose,,,
Hypoglycemia,blister,receiving_unsterile_injections,slurred_speech,chest_pain,diarrhoea,blurred_and_distorted_vision,,
Acne,polyuria,nausea,sinus_pressure,swelling_joints,irritation_in_anus,knee_pain,swollen_legs,obesity
Pneumonia,receiving_unsterile_injections,lack_of_concentration,stomach_bleeding,internal_itching,,,,
Chicken pox,scurring,slurred_speech,cramps,swollen_blood_vessels,nodal_skin_eruptions,indigestion,dehydration,bladder_discomfort
Jaundice,cough,dehydration,yellow_crust_ooze,burning_micturition,pain_behind_the_eyes,weakness_in_limbs,,
Bronchial Asthma,weight_loss,runny_nose,swollen_blood_vessels,internal_itching,muscle_pain,,,
Hepatitis B,dark_urine,patches_in_throat,blister,lethargy,mood_swings,,,
Paralysis (brain hemorrhage),swollen_legs,family_history,pain_behind_the_eyes,dizziness,coma,,,
Diabetes,lethargy,drying_and_tingling_lips,pain_in_anal_region,pain_during_bowel_movements,,,,
Urinary tract infection,pus_filled_pimples,sunken_eyes,swollen_legs,congestion,nodal_skin_eruptions,weight_loss,swelling_joints,
Hepatitis D,stiff_neck,altered_sensorium,palpitations,dizziness,family_history,redness_of_eyes,history_of_alcohol_consumption,headache
Tuberculosis,weight_loss,unsteadiness,bloody_stool,brittle_nails,,,,
AIDS,depression,lethargy,mood_swings,phlegm,red_spots_over_body,yellowish_skin,slurred_speech,
Jaundice,yellow_crust_ooze,weakness_in_limbs,burning_micturition,cough,dehydration,pain_behind_the_eyes,,
Acne,sinus_pressure,obesity,irritation_in_anus,knee_pain,polyuria,swelling_joints,nausea,swollen_legs
Gastroenteritis,painful_walking,irritability,brittle_nails,belly_pain,,,,
GERD,pain_in_anal_region,joint_pain,chest_pain,throat_irritation,,,,
Vertigo,dizziness,muscle_wasting,lethargy,receiving_blood_transfusion,,,,
Hypothyroidism,bloody_stool,congestion,rusty_sputum,cough,inflammatory_nails,blister,yellowing_of_eyes,continuous_sneezing
Migraine,pain_during_bowel_movements,family_history,acidity,swelling_joints,,,,
Bronchial Asthma,weight_loss,swollen_blood_vessels,runny_nose,internal_itching,muscle_pain,,,
Hypothyroidism,blister,bloody_stool,cough,congestion,continuous_sneezing,yellowing_of_eyes,rusty_sputum,inflammatory_nails
Gastroenteritis,brittle_nails,painful_walking,belly_pain,irritability,,,,
Impetigo,knee_pain,nodal_skin_eruptions,hip_joint_pain,history_of_alcohol_consumption,breathlessness,,,
